,word,type
0,operations,leading
1,new service,leading
2,stores,leading
3,deal,leading
4,passenger,leading
5,partnership,leading
6,new customer,leading
7,product,leading
8,production,leading
9,cds,leading
10,joint venture,leading
11,partner,leading
12,operation,leading
13,investment,leading
14,new factory,leading
15,new store,leading
16,properties,leading
17,capacity,leading
18,person,leading
19,efficient,pos
20,personnel,leading
21,workers,leading
22,people,leading
23,factory,leading
24,occupancy,leading
25,number of outlets,leading
26,equipment,leading
27,efficiencies,pos
28,employee,leading
29,workforce,leading
30,staff,leading
31,load factor,leading
32,new deal,leading
33,customer satisfaction,leading
34,customers,leading
35,jobs,leading
36,offering,leading
37,offer,leading
38,contracts,leading
39,worker,leading
40,price,leading
41,material,leading
42,new plant,leading
43,agreement,leading
44,outlets,leading
45,plant,leading
46,efficiency,pos
47,job,leading
48,traffic,leading
49,demand,leading
50,prices,leading
51,occupancy rate,leading
52,tariff,leading
53,new subscriber,leading
54,customer,leading
55,passengers,leading
56,patent,leading
57,persons,leading
58,employees,leading
59,utilization,leading
60,contract,leading
61,productivity,leading
62,new product,leading
63,store,leading
64,venture,leading
65,output,leading
66,headcount,leading
67,investments,leading
68,patents,leading
69,raw material,leading
70,gdp,lagging
71,roi,lagging
72,ordered,lagging
73,revenue,lagging
74,orders,lagging
75,money,lagging
76,profit before tax,lagging
77,eps,lagging
78,export,lagging
79,net sale,lagging
80,margins,lagging
81,inventories,lagging
82,ebitda,lagging
83,net sales,lagging
84,pat,lagging
85,profit,lagging
86,sale,lagging
87,return on investment,lagging
88,profitability,pos
89,inventory turns,lagging
90,return equity,lagging
91,inventory,lagging
92,interest,lagging
93,income,lagging
94,performance,lagging
95,operating result,lagging
96,market share,lagging
97,inventory turn,lagging
98,exports,lagging
99,earnings,lagging
100,equity,lagging
101,sales,lagging
102,volume,lagging
103,sales volume,lagging
104,earning,lagging
105,sales numbers,lagging
106,dividend,lagging
107,ebit,lagging
108,operating profit,lagging
109,pbt,lagging
110,cash flow,lagging
111,revenues,lagging
112,return on capital,lagging
113,order size,lagging
114,cash,lagging
115,return capital,lagging
116,profit after tax,lagging
117,profits,lagging
118,turnover,lagging
119,return investment,lagging
120,return on equity,lagging
121,margin,lagging
122,order,lagging
123,order frequency,lagging
124,earnings per share,lagging
125,loss,neg
126,consumption,lagging-rev
127,tax,lagging-rev
128,operating expense,lagging-rev
129,costs,lagging-rev
130,taxes,lagging-rev
131,expenses,lagging-rev
132,operating loss,lagging-rev
133,cost,lagging-rev
134,operating cost,lagging-rev
135,net loss,lagging-rev
136,expense,lagging-rev
137,win-win,up
138,rocketed,up
139,rocket,up
140,less,down
141,reductions,down
142,saves,up
143,terminate,neg
144,surpass,pos
145,cuts,down
146,widen,up
147,saved,up
148,boosts,up
149,cut,neg
150,violate,neg
151,rose,up
152,decreases,down
153,slips,down
154,decreased,down
155,swinged,up
156,save,up
157,narrows,down
158,increased,up
159,triple,up
160,beat,up
161,lay-offs,down
162,downs,down
163,rise,up
164,upgrade,up
165,increases,up
166,burden,neg
167,fall,down
168,quadrupled,up
169,shutted,down
170,lost,neg
171,outperform,pos
172,reduces,down
173,drop,down
174,laying,down
175,doubled,up
176,shrink,down
177,slide,down
178,rockets,up
179,hike,up
180,doubles,up
181,soar,up
182,reduced,down
183,raises,up
184,strengthened,pos
185,exceed,up
186,plummet,down
187,burdens,neg
188,declines,neg
189,violated,neg
190,signs,up
191,reduce,down
192,sign,up
193,jump,up
194,widened,up
195,slowed,neg
196,burdened,neg
197,slumps,down
198,strengthenes,up
199,exceeded,up
200,violates,neg
201,declined,neg
202,risen,up
203,bullish,up
204,jumped,up
205,bearish,down
206,ups,up
207,increase,up
208,speeded,up
209,laid,down
210,won,up
211,slash,down
212,liquidate,neg
213,falling,down
214,boost,pos
215,jumps,up
216,speed,up
217,multiplied,up
218,shut,neg
219,triples,up
220,recruits,up
221,fluctuates,down
222,terminated,neg
223,climbs,up
224,downgrades,neg
225,weak,neg
226,fluctuated,down
227,slow,neg
228,awards,up
229,negatives,neg
230,multiplies,up
231,downgrade,neg
232,rises,up
233,downgraded,neg
234,improve,pos
235,gained,pos
236,lay-off,down
237,plunges,down
238,improved,pos
239,tripled,up
240,climbed,up
241,diminished,neg
242,surge,up
243,improves,pos
244,plummets,down
245,exceeds,up
246,climb,up
247,narrow,down
248,warning,neg
249,speeds,up
250,struggle,neg
251,upgraded,up
252,raised,up
253,saving,up
254,slipped,down
255,redundants,down
256,lifted,up
257,height,up
258,down,down
259,losing,neg
260,decrease,down
261,quadruple,up
262,losses,neg
263,narrowed,down
264,awarded,up
265,decline,neg
266,swings,up
267,raise,up
268,pos,pos
269,neg,neg
270,liquidated,neg
271,heights,up
272,reduction,down
273,low,down
274,terminates,neg
275,recommend,up
276,liquidates,neg
277,recruited,up
278,more,up
279,lowest,down
280,plunge,down
281,widens,up
282,surges,up
283,slump,down
284,award,up
285,shrunk,down
286,slides,down
287,lift,up
288,gain,pos
289,surged,up
290,upgrades,up
291,grew,up
292,double,up
293,expanded,up
294,plunged,down
295,recruit,up
296,signed,up
297,below,down
298,growth,up
299,drops,down
300,slashes,down
301,slid,down
302,layoff,neg
303,shrinks,down
304,up,up
305,strengthen,pos
306,high,up
307,outperforms,pos
308,beats,up
309,recommends,up
310,dropped,neg
311,slip,down
312,gains,pos
313,grown,up
314,shuts,neg
315,weakened,neg
316,struggles,neg
317,dismissed,neg
318,surpassed,pos
319,recommended,up
320,lifts,up
321,surpasses,pos
322,struggled,down
323,layoffs,neg
324,grows,up
325,higher,up
326,slows,down
327,warnings,neg
328,boosted,pos
329,swing,up
330,outperformed,pos
331,falls,down
332,fell,down
333,shrank,down
334,eaten,down
335,multiply,up
336,positives,up
337,fluctuate,down
338,grow,up
339,expand,up
340,lower,down
341,halved,down
342,hiked,up
343,redundant,down
344,hikes,up
345,savings,up
346,weaks,down
347,expands,up
348,lows,down
349,desirable,pos
350,invent,pos
351,enjoyable,pos
352,abundant,pos
353,integrity,pos
354,outperforming,pos
355,honoring,pos
356,opportunities,pos
357,stable,pos
358,stabilizing,pos
359,enjoying,pos
360,friendly,pos
361,collaborate,pos
362,advantage,pos
363,enjoyably,pos
364,exclusives,pos
365,impressive,pos
366,solves,pos
367,excellence,pos
368,enhance,pos
369,enjoy,pos
370,tremendously,pos
371,regained,pos
372,complimented,pos
373,enhancement,pos
374,honors,pos
375,advantageous,pos
376,revolutionize,pos
377,pleased,pos
378,succeeds,pos
379,satisfy,pos
380,advantageously,pos
381,empower,pos
382,desired,pos
383,strong,pos
384,great,pos
385,accomplishes,pos
386,brilliant,pos
387,exceptionally,pos
388,accomplished,pos
389,innovativeness,pos
390,lucrative,pos
391,honor,pos
392,fantastic,pos
393,stabilization,pos
394,win,pos
395,collaborating,pos
396,distinctiveness,pos
397,assuring,pos
398,achieving,pos
399,successful,pos
400,benefiting,pos
401,impress,pos
402,excellent,pos
403,abundance,pos
404,rebounding,pos
405,stabilized,pos
406,accomplishment,pos
407,benefitting,pos
408,stabilizes,pos
409,transparency,pos
410,beautiful,pos
411,ingenuity,pos
412,attain,pos
413,bolstered,pos
414,advancing,pos
415,winners,pos
416,revolutionizing,pos
417,spectacularly,pos
418,destined,pos
419,improving,pos
420,efficiently,pos
421,succeeded,pos
422,pleasure,pos
423,dream,pos
424,exclusive,pos
425,satisfied,pos
426,stability,pos
427,innovative,pos
428,satisfies,pos
429,perfect,pos
430,superior,pos
431,solving,pos
432,winning,pos
433,better,pos
434,easier,pos
435,good,pos
436,greater,pos
437,attains,pos
438,easily,pos
439,stabilize,pos
440,delightful,pos
441,prospers,pos
442,bolstering,pos
443,exclusiveness,pos
444,breakthrough,pos
445,adequately,pos
446,unsurpassed,pos
447,accomplish,pos
448,collaborates,pos
449,collaborated,pos
450,honorable,pos
451,achievements,pos
452,advantaged,pos
453,assured,pos
454,favored,pos
455,pleasant,pos
456,assures,pos
457,advantages,pos
458,delightfully,pos
459,delight,pos
460,favoring,pos
461,regaining,pos
462,attainments,pos
463,benefited,pos
464,encouraging,pos
465,improvements,pos
466,leading,pos
467,plentiful,pos
468,perfectly,pos
469,insightful,pos
470,rewards,pos
471,enhancing,pos
472,happily,pos
473,favorably,pos
474,innovate,pos
475,favorable,pos
476,inventing,pos
477,versatility,pos
478,positively,pos
479,inventor,pos
480,compliments,pos
481,collaborations,pos
482,enabled,pos
483,inventiveness,pos
484,innovated,pos
485,proactive,pos
486,premier,pos
487,prestigious,pos
488,prosperity,pos
489,strength,pos
490,empowered,pos
491,able,pos
492,ideal,pos
493,satisfactory,pos
494,creatively,pos
495,innovator,pos
496,conducive,pos
497,attractiveness,pos
498,collaboration,pos
499,excelling,pos
500,excels,pos
501,vibrancy,pos
502,prestige,pos
503,achievement,pos
504,enthusiastic,pos
505,popularity,pos
506,stronger,pos
507,charitable,pos
508,creativeness,pos
509,impressively,pos
510,exclusivity,pos
511,enjoyed,pos
512,winner,pos
513,inventions,pos
514,attained,pos
515,enthusiasm,pos
516,achieve,pos
517,exceptional,pos
518,revolutionized,pos
519,despite,pos
520,happiest,pos
521,revolutionizes,pos
522,resolve,pos
523,complimenting,pos
524,courteous,pos
525,enhances,pos
526,inventive,pos
527,achieved,pos
528,encourages,pos
529,achieves,pos
530,enhanced,pos
531,rewarded,pos
532,best,pos
533,encouraged,pos
534,satisfying,pos
535,distinctive,pos
536,succeeding,pos
537,progress,pos
538,enjoys,pos
539,compliment,pos
540,smooths,pos
541,succeed,pos
542,proficiently,pos
543,empowering,pos
544,collaborators,pos
545,diligent,pos
546,attainment,pos
547,successes,pos
548,distinctively,pos
549,enabling,pos
550,assure,pos
551,upturns,pos
552,distinction,pos
553,innovating,pos
554,exemplary,pos
555,innovations,pos
556,satisfaction,pos
557,constructively,pos
558,accomplishing,pos
559,invented,pos
560,enhancements,pos
561,tremendous,pos
562,rebounded,pos
563,creativity,pos
564,confident,pos
565,dependable,pos
566,collaborator,pos
567,delights,pos
568,enable,pos
569,prosperous,pos
570,meritorious,pos
571,advancements,pos
572,influential,pos
573,preeminent,pos
574,encouragement,pos
575,optimistic,pos
576,beautifully,pos
577,alliances,pos
578,progressing,pos
579,enjoyment,pos
580,premiere,pos
581,proficiency,pos
582,prospered,pos
583,favorites,pos
584,impressing,pos
585,opportunity,pos
586,pleasantly,pos
587,upturn,pos
588,greatest,pos
589,inspirational,pos
590,prospering,pos
591,reward,pos
592,valuable,pos
593,happiness,pos
594,profitable,pos
595,advancement,pos
596,exclusively,pos
597,improvement,pos
598,attractive,pos
599,easy,pos
600,profitably,pos
601,excited,pos
602,dependability,pos
603,spectacular,pos
604,advances,pos
605,rebound,pos
606,progressed,pos
607,perfects,pos
608,enthusiastically,pos
609,progresses,pos
610,strengths,pos
611,success,pos
612,vibrant,pos
613,informative,pos
614,benefit,pos
615,popular,pos
616,beneficial,pos
617,honored,pos
618,smoothly,pos
619,successfully,pos
620,strongest,pos
621,perfected,pos
622,booming,pos
623,conclusive,pos
624,beneficially,pos
625,breakthroughs,pos
626,proficient,pos
627,unmatched,pos
628,creative,pos
629,rewarding,pos
630,innovation,pos
631,regain,pos
632,benefitted,pos
633,constructive,pos
634,leadership,pos
635,worthy,pos
636,exciting,pos
637,favorite,pos
638,greatly,pos
639,complimentary,pos
640,alliance,pos
641,delighted,pos
642,accomplishments,pos
643,impressed,pos
644,stabilizations,pos
645,innovates,pos
646,distinctions,pos
647,smoothing,pos
648,impresses,pos
649,greatness,pos
650,innovators,pos
651,happy,pos
652,conclusively,pos
653,bolsters,pos
654,delighting,pos
655,satisfactorily,pos
656,highest,pos
657,versatile,pos
658,proactively,pos
659,receptive,pos
660,smooth,pos
661,excitement,pos
662,strengthens,pos
663,diligently,pos
664,strengthening,pos
665,surpassing,pos
666,acclaimed,pos
667,incredible,pos
668,unparalleled,pos
669,boom,pos
670,incredibly,pos
671,gaining,pos
672,collaborative,pos
673,empowers,pos
674,inspiration,pos
675,preeminence,pos
676,loyal,pos
677,attaining,pos
678,restates,neg
679,interference,neg
680,dissolution,neg
681,obstruction,neg
682,protest,neg
683,controversial,neg
684,shrinkages,neg
685,defraud,neg
686,poorly,neg
687,demotes,neg
688,revoking,neg
689,obstructions,neg
690,crises,neg
691,nullifications,neg
692,bailout,neg
693,demoted,neg
694,immature,neg
695,distorts,neg
696,unsold,neg
697,misunderstanding,neg
698,distort,neg
699,redact,neg
700,malfunctioned,neg
701,disturb,neg
702,exaggerate,neg
703,persisted,neg
704,abolishing,neg
705,monopolized,neg
706,foregoes,neg
707,uncovers,neg
708,picketed,neg
709,diverting,neg
710,warns,neg
711,infringes,neg
712,complicates,neg
713,resignations,neg
714,errors,neg
715,restatements,neg
716,deliberate,neg
717,worsen,neg
718,overages,neg
719,uneconomically,neg
720,improperly,neg
721,misjudged,neg
722,deteriorations,neg
723,interrupting,neg
724,usurps,neg
725,moratoriums,neg
726,misjudges,neg
727,contentions,neg
728,aftermath,neg
729,noncompliant,neg
730,contraction,neg
731,stresses,neg
732,inefficiently,neg
733,unwillingness,neg
734,ridicule,neg
735,postpones,neg
736,controversy,neg
737,harass,neg
738,pled,neg
739,stressed,neg
740,unwanted,neg
741,postponed,neg
742,cancellation,neg
743,criticism,neg
744,ridiculed,neg
745,inequitable,neg
746,summons,neg
747,inequitably,neg
748,ridicules,neg
749,counterfeiters,neg
750,circumvent,neg
751,devastation,neg
752,criminals,neg
753,unfunded,neg
754,overshadow,neg
755,discrepancies,neg
756,nonperformances,neg
757,distortions,neg
758,abusing,neg
759,dispossessing,neg
760,redefaulted,neg
761,expose,neg
762,hurt,neg
763,warn,neg
764,disruption,neg
765,tolerates,neg
766,outdated,neg
767,slowest,neg
768,overrun,neg
769,worst,neg
770,divorced,neg
771,cancellations,neg
772,deficiencies,neg
773,exploitative,neg
774,pervasiveness,neg
775,criticizing,neg
776,anticompetitive,neg
777,collapsing,neg
778,culpability,neg
779,stagnated,neg
780,deadweight,neg
781,unjust,neg
782,stressing,neg
783,disparagement,neg
784,impair,neg
785,nonrenewal,neg
786,stagnates,neg
787,caution,neg
788,untruthful,neg
789,riskiest,neg
790,worse,neg
791,collude,neg
792,complaining,neg
793,damage,neg
794,cutback,neg
795,implicating,neg
796,faults,neg
797,unexcused,neg
798,sever,neg
799,accusations,neg
800,disappoint,neg
801,faulty,neg
802,resignation,neg
803,undesirable,neg
804,arrearages,neg
805,insecure,neg
806,harmfully,neg
807,wrong,neg
808,sentencing,neg
809,suing,neg
810,misleads,neg
811,severity,neg
812,inactivity,neg
813,undesired,neg
814,alienate,neg
815,neglect,neg
816,defaced,neg
817,fictitious,neg
818,uninsured,neg
819,fraudulently,neg
820,perpetrates,neg
821,unremedied,neg
822,misdemeanor,neg
823,inconclusive,neg
824,undetected,neg
825,tolerating,neg
826,overcomes,neg
827,weakens,neg
828,misconduct,neg
829,unrest,neg
830,understates,neg
831,defrauded,neg
832,unforeseen,neg
833,underinsured,neg
834,destroyed,neg
835,degradations,neg
836,understated,neg
837,persist,neg
838,disgorgements,neg
839,dissolutions,neg
840,bankrupts,neg
841,overcome,neg
842,reassessments,neg
843,undercut,neg
844,unfortunate,neg
845,bans,neg
846,underperform,neg
847,weakness,neg
848,unemployed,neg
849,repudiating,neg
850,misstate,neg
851,intimidation,neg
852,break,neg
853,inactivations,neg
854,enjoining,neg
855,divesting,neg
856,disreputable,neg
857,straining,neg
858,demotion,neg
859,confronting,neg
860,arrested,neg
861,lockout,neg
862,interfering,neg
863,noncompliance,neg
864,confiscations,neg
865,unwelcome,neg
866,interruption,neg
867,crimes,neg
868,displacement,neg
869,deadlocked,neg
870,contend,neg
871,depress,neg
872,disloyalty,neg
873,redressed,neg
874,downtimes,neg
875,crucial,neg
876,tolerated,neg
877,redresses,neg
878,standstills,neg
879,arrests,neg
880,sluggish,neg
881,disagreements,neg
882,misrepresentations,neg
883,disputed,neg
884,barrier,neg
885,abdicated,neg
886,threatened,neg
887,fugitive,neg
888,redacting,neg
889,renouncing,neg
890,curtailment,neg
891,corrects,neg
892,inadequately,neg
893,obstructing,neg
894,abdicates,neg
895,exposing,neg
896,condemnations,neg
897,conceding,neg
898,disturbed,neg
899,oppose,neg
900,ineffectively,neg
901,mislabel,neg
902,breakages,neg
903,miscalculation,neg
904,implicates,neg
905,deplete,neg
906,disappearing,neg
907,underproduced,neg
908,implicated,neg
909,dysfunction,neg
910,misusing,neg
911,defaulting,neg
912,protracted,neg
913,disgorged,neg
914,disqualifications,neg
915,overstating,neg
916,disgorges,neg
917,damaging,neg
918,reparation,neg
919,collapse,neg
920,rejected,neg
921,downsize,neg
922,defaulted,neg
923,wasted,neg
924,abandoning,neg
925,peril,neg
926,conciliations,neg
927,delists,neg
928,illiquidity,neg
929,scrutinize,neg
930,idle,neg
931,rationalization,neg
932,prone,neg
933,unintended,neg
934,alleging,neg
935,encumbered,neg
936,nonattainment,neg
937,nonconforming,neg
938,repossesses,neg
939,infringed,neg
940,forced,neg
941,demotions,neg
942,unobtainable,neg
943,divulge,neg
944,misclassify,neg
945,imprudent,neg
946,concedes,neg
947,detained,neg
948,distracts,neg
949,diminishing,neg
950,sue,neg
951,conceded,neg
952,drought,neg
953,inconsistency,neg
954,miscalculates,neg
955,antitrust,neg
956,circumvention,neg
957,incompatible,neg
958,fugitives,neg
959,inaccuracies,neg
960,disruptions,neg
961,detriment,neg
962,unperformed,neg
963,annoyed,neg
964,incomplete,neg
965,mishandling,neg
966,writeoff,neg
967,undue,neg
968,disturbs,neg
969,bail,neg
970,acquit,neg
971,delays,neg
972,wasteful,neg
973,nullified,neg
974,criticizes,neg
975,hostility,neg
976,degradation,neg
977,criticized,neg
978,shutting,neg
979,slanderous,neg
980,downtime,neg
981,impractical,neg
982,suffers,neg
983,exculpates,neg
984,distracting,neg
985,egregious,neg
986,collusion,neg
987,irregularities,neg
988,bad,neg
989,exculpated,neg
990,precluding,neg
991,erroneous,neg
992,disaster,neg
993,litigates,neg
994,alienations,neg
995,unexpectedly,neg
996,corrupt,neg
997,disturbing,neg
998,resigned,neg
999,scrutinizing,neg
1000,inappropriate,neg
1001,mismanaging,neg
1002,reassigned,neg
1003,deceptively,neg
1004,tainted,neg
1005,solvencies,neg
1006,objectionably,neg
1007,unconscionable,neg
1008,failings,neg
1009,disavowed,neg
1010,misinforms,neg
1011,felony,neg
1012,annulling,neg
1013,detracting,neg
1014,outages,neg
1015,accident,neg
1016,violators,neg
1017,sacrificing,neg
1018,irregular,neg
1019,fault,neg
1020,ill,neg
1021,penalizing,neg
1022,against,neg
1023,monopolize,neg
1024,argue,neg
1025,confronted,neg
1026,overstatements,neg
1027,obscenity,neg
1028,foreclosing,neg
1029,miscommunication,neg
1030,inactivate,neg
1031,litigant,neg
1032,penalize,neg
1033,petty,neg
1034,downsizings,neg
1035,condemned,neg
1036,disgracefully,neg
1037,impeding,neg
1038,detrimental,neg
1039,renegotiation,neg
1040,unknowingly,neg
1041,incompetent,neg
1042,counterclaiming,neg
1043,inattention,neg
1044,dismiss,neg
1045,jeopardized,neg
1046,confinement,neg
1047,doubts,neg
